scenario,playback_id,selected_visualizer_strategy,t_ms,input_energy,expanded_energy,final_speaking_energy,adaptive_gain
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,640.0,0.0,0.0,0.3399,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,656.0,0.0,0.0,0.3313,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,672.0,0.0,0.0,0.3259,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,688.0,0.0,0.0,0.324,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,704.0,0.0,0.0,0.3255,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,720.0,0.0,0.0,0.3291,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,736.0,0.0,0.0,0.3335,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,752.0,0.0,0.0,0.3368,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,768.0,0.0,0.0,0.3373,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,784.0,0.0,0.0,0.3335,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,800.0,0.0,0.0,0.3246,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,816.0,0.0,0.0,0.3107,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,832.0,0.0,0.0,0.2925,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,848.0,0.0,0.0,0.2716,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,864.0,0.0,0.0,0.25,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,880.0,0.0,0.0,0.2301,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,896.0,0.0,0.0,0.2143,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,912.0,0.0,0.0,0.2046,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,928.0,0.0,0.0,0.2024,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,944.0,0.0,0.0,0.2081,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,960.0,0.0,0.0,0.2216,0.0
missing_envelope_timeline,probe-missing-timeline,procedural_speaking,976.0,0.0,0.0,0.2413,0.0
